line_length_cv,char_entropy,leading_whitespace_ratio,tab_density,sentence_punctuation_rate,paragraph_break_rate,alpha_ratio,line_uniqueness,short_line_ratio,symbol_ratio,delimiter_consistency,json_brace_depth,key_value_ratio,xml_tag_ratio,log_line_ratio,comment_ratio,numeric_field_ratio,repetitive_structure_score,category,sub_type,line_count
0.7738,4.2827,0.0664,0.0,0.0836,0.0452,0.726,1.1928,0.1374,0.0,0.0,0.0112,0.2127,0.0,0.0,0.1759,0.3092,0.166,artifact,ocr_mixed,51
0.7702,4.2912,0.3831,0.0407,0.0,0.1851,0.8531,0.8543,0.0794,0.0,0.1044,0.0051,0.3922,0.0275,0.0,0.0399,0.1508,0.2177,artifact,ocr_mixed,52
0.8364,3.9864,0.3476,0.2465,0.0,0.0357,0.9307,0.9238,0.0807,0.0,0.1603,0.0,0.045,0.1759,0.0,0.0531,0.1999,0.1479,artifact,ocr_mixed,53
0.7485,4.224,0.1045,0.0634,0.0,0.2318,0.8699,0.9124,0.1349,0.0,0.0237,0.0,0.1832,0.135,0.1157,0.1329,0.3482,0.1543,artifact,ocr_mixed,42
0.8223,5.3098,0.3217,0.1553,0.0,0.1792,0.7299,0.5085,0.2348,0.1667,0.0,0.0,0.0692,0.0,0.0245,0.0371,0.0,0.0233,code,dockerfile,48
0.9507,5.1417,0.1293,0.0672,0.0443,0.434,0.8426,0.718,0.145,0.0934,0.0,0.0202,0.0278,0.1137,0.1364,0.0,0.0172,0.2825,code,dockerfile,37
1.0667,5.622,0.1656,0.0284,0.0,0.4202,0.7746,0.6847,0.1829,0.121,0.0,0.0,0.1539,0.1368,0.075,0.0,0.0,0.3165,code,dockerfile,46
1.0666,5.3695,0.2228,0.0,0.0,0.1464,0.7348,0.8175,0.1672,0.029,0.0,0.0255,0.073,0.0,0.0,0.1393,0.0,0.476,code,dockerfile,55
1.1184,5.2933,0.0798,0.1947,0.0311,0.1736,0.7198,0.6804,0.3069,0.0618,0.0,0.0,0.0867,0.0,0.0,0.0,0.0124,0.3587,code,dockerfile,46
0.9003,5.3254,0.0,0.0,0.0822,0.3347,0.6109,0.8338,0.0618,0.1961,0.0182,0.0,0.0689,0.1979,0.009,0.078,0.1071,0.2796,code,dockerfile,41
1.1863,5.3271,0.2402,0.0,0.0,0.5028,0.8106,0.6472,0.2064,0.185,0.0,0.1477,0.1277,0.0,0.2042,0.0,0.0,0.0,code,dockerfile,35
0.9199,5.4196,0.208,0.0,0.226,0.2902,0.8296,0.7684,0.0124,0.2082,0.0121,0.0,0.055,0.0636,0.0892,0.1479,0.0,0.5103,code,dockerfile,50
0.8292,5.3147,0.3631,0.1601,0.0,0.3831,0.8417,0.5736,0.1194,0.1427,0.0,0.0,0.1285,0.0,0.0,0.0,0.0,0.2084,code,dockerfile,46
1.0085,5.22,0.0028,0.0,0.0,0.5243,0.699,0.59,0.1132,0.2247,0.1198,0.0,0.3128,0.1606,0.0,0.0852,0.0592,0.3055,code,dockerfile,47
0.9121,5.1064,0.2795,0.1742,0.0586,0.223,0.7671,0.6655,0.3652,0.136,0.053,0.0,0.0962,0.0504,0.1652,0.0,0.1206,0.4791,code,dockerfile,48
0.954,5.3183,0.2596,0.0,0.0,0.2326,0.8696,0.6093,0.2975,0.1904,0.0,0.0,0.131,0.0,0.2854,0.0918,0.0149,0.4257,code,dockerfile,47
0.9902,5.2466,0.1487,0.0727,0.0,0.2974,0.8518,0.6664,0.3885,0.1445,0.2386,0.0,0.1434,0.0,0.2466,0.0,0.0,0.3757,code,dockerfile,51
0.9772,5.3757,0.0472,0.0,0.0,0.3004,1.0932,0.6105,0.1564,0.1425,0.0,0.0975,0.1909,0.132,0.0869,0.177,0.1413,0.3279,code,dockerfile,39
0.94,5.1758,0.2556,0.0,0.0,0.2088,0.9165,0.4594,0.0835,0.0698,0.0,0.1422,0.0889,0.1233,0.0,0.0065,0.0,0.36,code,dockerfile,47
0.6472,4.7748,0.699,0.0882,0.1824,0.0,0.6472,1.1072,0.0505,0.0542,0.0859,0.0721,0.6044,1.4052,0.0509,0.0,0.0985,0.3664,code,html,20
0.6074,4.7201,0.7499,0.0291,0.0,0.0,0.6602,0.9597,0.573,0.0,0.0394,0.0392,0.5926,1.0481,0.0,0.02,0.0,0.6324,code,html,21
0.5801,5.075,0.8697,0.044,0.2794,0.2147,0.8462,0.9764,0.3047,0.0889,0.0806,0.0709,0.5695,0.8897,0.0972,0.2494,0.0,0.1822,code,html,22
0.5406,5.0129,0.8433,0.0009,0.0,0.0,0.7947,1.0597,0.4415,0.1639,0.0067,0.0,0.5649,1.1461,0.1208,0.0626,0.0542,0.1248,code,html,20
0.7149,4.9623,0.5553,0.0,0.0,0.0,0.738,0.8232,0.3512,0.1219,0.0365,0.2452,0.6857,0.7903,0.0,0.0,0.0,0.3092,code,html,23
0.3894,4.5797,0.6823,0.0888,0.0924,0.0911,0.912,1.0835,0.3901,0.184,0.0,0.0229,0.6381,0.9069,0.0527,0.0,0.0,0.4462,code,html,21
0.3894,4.6187,0.6344,0.0,0.1436,0.0,0.7947,1.0223,0.3698,0.1194,0.0,0.0231,0.4907,0.8802,0.0185,0.0186,0.0,0.3333,code,html,22
0.7931,4.7001,0.7774,0.0,0.0308,0.0,0.8668,1.0938,0.2756,0.0404,0.014,0.0,0.7968,0.955,0.0,0.0,0.0,0.4288,code,html,25
0.5943,4.502,0.8633,0.1191,0.0,0.2994,0.6684,1.0577,0.3147,0.1262,0.1735,0.0,0.6965,1.145,0.0,0.0,0.0492,0.5555,code,html,21
0.649,4.6131,0.9286,0.0905,0.0,0.0,0.9611,0.7231,0.1438,0.0776,0.0,0.0,0.6759,0.9826,0.1197,0.0402,0.0,0.3051,code,html,21
0.5196,4.7877,0.6002,0.0,0.2021,0.0,0.6986,0.8964,0.0931,0.0,0.0,0.0,0.7335,1.1478,0.036,0.0584,0.011,0.2121,code,html,20
0.7957,4.646,0.8568,0.0,0.0511,0.0,0.8127,1.0378,0.4553,0.1129,0.0,0.0068,0.5522,1.1477,0.137,0.0572,0.1222,0.2035,code,html,24
0.5565,4.514,0.6252,0.0,0.0,0.0,0.5665,0.931,0.3246,0.2496,0.0,0.0142,0.5723,1.0258,0.0,0.0,0.0,0.4473,code,html,21
0.496,4.7123,0.5892,0.0181,0.0,0.0,0.7438,1.1722,0.3609,0.1261,0.0,0.0,0.7194,0.8695,0.0579,0.2895,0.2263,0.3069,code,html,20
0.7421,5.0898,0.0199,0.0,0.0,0.0741,0.7137,0.9215,0.3743,0.0949,0.0,0.0,0.6711,0.0365,0.0,0.0,0.1178,0.7567,code,ini_config,48
0.4828,4.9699,0.0,0.0,0.0,0.1378,0.8315,0.8891,0.2071,0.0648,0.0,0.0489,0.8344,0.0,0.0,0.0,0.0011,0.7035,code,ini_config,56
0.7763,4.897,0.111,0.0,0.0,0.0713,0.6813,0.8224,0.3197,0.0775,0.0793,0.0,0.7589,0.0,0.0,0.0723,0.4271,0.5526,code,ini_config,57
0.5517,4.952,0.0842,0.0,0.0,0.0384,0.7573,0.9066,0.5411,0.143,0.0,0.0764,0.4806,0.0227,0.1506,0.159,0.11,0.5142,code,ini_config,42
0.6329,4.816,0.1478,0.0,0.0708,0.1143,1.1192,1.0149,0.4724,0.1363,0.0616,0.0232,0.6825,0.0,0.2894,0.0,0.0665,0.5012,code,ini_config,52
0.7331,5.133,0.0,0.1178,0.0035,0.3381,0.8418,0.8387,0.2187,0.1398,0.072,0.0,0.6612,0.0,0.0843,0.0,0.1282,0.7083,code,ini_config,53
0.6228,4.9494,0.2487,0.0887,0.0,0.0196,0.7978,1.0048,0.1914,0.1224,0.0226,0.0456,0.415,0.0,0.1662,0.0211,0.0,0.7167,code,ini_config,45
0.4809,4.9161,0.0531,0.0,0.117,0.1387,0.878,0.9881,0.4231,0.066,0.1381,0.0,0.6723,0.0094,0.0,0.0,0.2806,0.4747,code,ini_config,50
0.451,5.0286,0.0023,0.1575,0.1835,0.2951,0.9757,0.7801,0.4382,0.1543,0.0,0.02,0.7183,0.1233,0.0,0.0471,0.0,0.5902,code,ini_config,47
0.5783,4.9626,0.0,0.0,0.0,0.0649,0.7308,0.9569,0.4307,0.2588,0.0,0.0,0.6898,0.0,0.0,0.1722,0.0728,0.7503,code,ini_config,44
0.596,5.0846,0.0139,0.0,0.0129,0.0763,0.7357,0.9324,0.1701,0.0,0.0,0.0586,0.5786,0.0,0.1967,0.2216,0.0778,0.6132,code,ini_config,47
0.5635,4.9085,0.0,0.0,0.0365,0.2015,0.8445,0.8304,0.4179,0.244,0.0,0.0,0.573,0.0281,0.1655,0.03,0.2495,0.4783,code,ini_config,49
0.4265,4.9574,0.0,0.0,0.0,0.0,0.8902,0.9694,0.2648,0.1154,0.0,0.0059,0.6546,0.0132,0.076,0.0,0.1087,0.644,code,ini_config,52
0.4874,4.9262,0.0,0.0,0.0251,0.3321,0.8641,0.7905,0.3931,0.2091,0.0034,0.0417,0.7202,0.0,0.0,0.0326,0.0,0.7661,code,ini_config,48
0.7498,4.3462,0.8359,0.0,0.0316,0.164,0.8096,0.9231,0.3115,0.0,0.1308,0.093,0.1924,0.0,0.0895,0.0,0.1784,0.035,code,javascript,44
0.5758,4.3875,0.9756,0.0013,0.1581,0.2912,0.8322,0.914,0.2747,0.0725,0.0083,0.035,0.3478,0.0913,0.0,0.0225,0.0947,0.0133,code,javascript,35
0.5763,4.2062,0.5987,0.0,0.161,0.1061,0.8443,0.8572,0.306,0.066,0.0,0.1575,0.3548,0.0,0.2675,0.0,0.1757,0.0,code,javascript,42
0.8321,4.4225,0.7623,0.0902,0.0291,0.1385,1.0702,0.8722,0.1254,0.0,0.0,0.0898,0.3482,0.0,0.0375,0.0,0.0903,0.0,code,javascript,35
0.8698,4.5542,0.4749,0.1761,0.0686,0.2651,0.819,0.8149,0.2162,0.1208,0.0,0.0027,0.3815,0.1389,0.1512,0.01,0.0,0.169,code,javascript,39
0.7474,4.4212,0.6737,0.0,0.0,0.2434,0.7795,0.7588,0.297,0.1495,0.0714,0.0485,0.4823,0.0031,0.0433,0.0351,0.0,0.036,code,javascript,39
0.7113,4.1269,0.6306,0.0,0.0637,0.0,0.9701,0.8902,0.1563,0.1374,0.0529,0.0,0.2676,0.0875,0.2386,0.0,0.0133,0.0564,code,javascript,39
0.8509,4.2115,0.8516,0.1228,0.032,0.208,0.9156,0.8219,0.2502,0.0896,0.0735,0.0,0.3642,0.0,0.1553,0.0,0.233,0.0336,code,javascript,30
0.7623,4.5673,0.3862,0.0806,0.0,0.1409,0.7777,0.7358,0.0,0.2117,0.0,0.0178,0.4034,0.0,0.0701,0.0672,0.0017,0.278,code,javascript,36
0.9754,4.3592,0.6142,0.3426,0.0,0.1126,0.7652,0.9409,0.2135,0.0,0.0,0.113,0.5211,0.0,0.0,0.0,0.1444,0.063,code,javascript,35
0.7949,4.2809,0.8082,0.2768,0.0064,0.1346,0.8925,0.8139,0.2502,0.0127,0.1535,0.0103,0.2445,0.1351,0.0,0.0832,0.2281,0.1055,code,javascript,37
0.8965,4.2646,0.5344,0.0,0.1435,0.0585,0.9853,0.9061,0.2442,0.0956,0.003,0.2475,0.3972,0.0,0.0834,0.1034,0.0493,0.2754,code,javascript,36
0.0356,4.5463,0.0,0.0,0.0,0.0,0.8852,1.0253,0.0,0.2196,0.0,0.0565,0.8452,0.2037,0.0117,0.1076,0.0,0.1334,code,minified_js,1
0.0,4.8236,0.1415,0.0,0.0,0.0296,0.7633,1.0586,0.1181,0.3219,0.153,0.0,1.0108,0.0,0.0906,0.0,0.0023,0.0,code,minified_js,2
0.085,5.0062,0.0879,0.0,0.0,0.1432,0.667,1.1652,0.0,0.2902,0.2727,0.0,1.0267,0.1634,0.0,0.1649,0.0,0.1248,code,minified_js,1
0.0,4.911,0.0,0.0,0.0255,0.0,0.7984,1.1203,0.0789,0.2964,0.1014,0.1493,0.9676,0.0,0.1255,0.0689,0.0,0.0,code,minified_js,0
0.0,4.6792,0.0,0.0,0.1216,0.0662,0.7247,1.0479,0.0668,0.1744,0.1112,0.0,0.8809,0.0,0.0,0.0,0.0,0.0,code,minified_js,0
0.0458,4.579,0.0,0.1055,0.0,0.0442,0.8142,1.034,0.2082,0.0,0.0,0.0712,0.9435,0.0044,0.0,0.1858,0.0157,0.112,code,minified_js,1
0.0,4.8392,0.0809,0.1246,0.1003,0.0,0.8071,0.9174,0.1523,0.0,0.0317,0.0,0.8487,0.0,0.0,0.0,0.0952,0.1015,code,minified_js,1
0.0432,4.702,0.0,0.0768,0.201,0.2228,0.739,0.7163,0.0,0.0141,0.0,0.0,0.8801,0.0,0.0,0.0,0.0,0.1817,code,minified_js,2
0.0688,4.8854,0.0578,0.0,0.0549,0.0,0.5224,0.7597,0.0,0.1649,0.0,0.0,0.9921,0.0,0.0583,0.0,0.0,0.1069,code,minified_js,3
0.0,4.6243,0.0,0.0,0.0,0.0147,0.7721,0.9185,0.0,0.2081,0.0,0.2708,1.0238,0.0,0.0,0.0,0.0,0.2476,code,minified_js,2
0.1626,4.7934,0.0497,0.0,0.0808,0.0144,0.4862,1.0744,0.0,0.0856,0.0,0.0,0.9566,0.0172,0.0615,0.2034,0.0984,0.0,code,minified_js,0
0.0297,4.7397,0.2175,0.19,0.0,0.0,0.7787,1.3152,0.0,0.0,0.1146,0.0,0.9271,0.009,0.0,0.0,0.0138,0.0371,code,minified_js,0
0.9166,4.5129,0.6637,0.0903,0.0,0.1724,0.5991,0.9942,0.0,0.0346,0.0,0.0919,0.2846,0.0039,0.0,0.0,0.0259,0.2334,code,python,38
0.7373,4.4,0.4053,0.0,0.0,0.2933,0.8808,0.9107,0.0957,0.0588,0.069,0.2489,0.2362,0.0,0.0171,0.0,0.2952,0.1838,code,python,32
0.5364,4.6438,0.7265,0.0517,0.0,0.2235,0.9802,0.8518,0.0771,0.002,0.002,0.0223,0.6136,0.0,0.0,0.0,0.0883,0.3426,code,python,35
0.6706,4.3952,0.6269,0.0,0.0615,0.114,0.9272,0.7033,0.1391,0.0,0.0,0.0,0.4602,0.069,0.0,0.0,0.0025,0.1063,code,python,31
0.6596,4.0676,0.6661,0.0,0.0,0.0249,0.6598,0.8438,0.312,0.0,0.183,0.0697,0.297,0.0974,0.0,0.0,0.0144,0.212,code,python,32
0.4438,4.3714,0.4589,0.0183,0.0786,0.3339,0.8328,0.7665,0.1292,0.0228,0.0,0.0672,0.4792,0.0437,0.0,0.0249,0.0124,0.0774,code,python,34
0.8614,4.66,0.7483,0.0,0.0,0.4275,0.8602,0.4433,0.1484,0.0,0.0425,0.1154,0.5612,0.0,0.203,0.1001,0.0,0.0952,code,python,33
0.4043,4.5203,0.6418,0.0,0.0,0.3294,0.9379,0.6645,0.2582,0.1362,0.2276,0.0399,0.4111,0.0,0.1241,0.0,0.1398,0.1764,code,python,30
0.9598,4.483,0.4606,0.0925,0.0287,0.1844,1.0067,0.7114,0.1263,0.1778,0.0,0.058,0.4438,0.071,0.0337,0.0,0.0661,0.0464,code,python,24
0.935,4.56,0.7692,0.0,0.0511,0.2011,0.7982,0.949,0.1671,0.1385,0.0858,0.08,0.5066,0.1576,0.2306,0.0,0.0522,0.2005,code,python,30
0.5937,4.38,0.5957,0.1356,0.046,0.016,0.8312,0.7457,0.05,0.0968,0.0,0.0,0.417,0.0309,0.0,0.1682,0.1136,0.2759,code,python,31
1.1132,4.2629,0.3838,0.1197,0.0987,0.2604,0.8544,0.771,0.2161,0.1527,0.0,0.0021,0.2337,0.0286,0.0,0.0378,0.0,0.4521,code,python,27
0.781,4.4936,0.6411,0.0905,0.0,0.2213,0.8918,0.8434,0.2439,0.0093,0.0135,0.0907,0.483,0.2541,0.0,0.0742,0.1367,0.2765,code,python,28
0.9058,4.4668,0.5558,0.0,0.0,0.1271,0.8086,0.8511,0.0693,0.1779,0.0221,0.2103,0.4169,0.0,0.0,0.1309,0.0089,0.4297,code,python,31
0.7734,4.4479,0.5036,0.0056,0.0755,0.3784,0.822,0.7747,0.3638,0.0077,0.0,0.1407,0.6436,0.0,0.0205,0.1942,0.1168,0.3963,code,python,29
0.8104,4.6713,0.6093,0.1213,0.0,0.2064,0.7271,0.7809,0.1882,0.1363,0.0787,0.2557,0.4537,0.0,0.113,0.0,0.0,0.2688,code,python_with_docstrings,93
0.5489,4.5575,0.559,0.0,0.0639,0.0318,0.6422,0.5834,0.1775,0.193,0.0,0.0603,0.22,0.0,0.0086,0.0399,0.0,0.3114,code,python_with_docstrings,108
0.8128,4.588,0.8326,0.036,0.1047,0.1733,1.0248,0.7081,0.2952,0.0455,0.0937,0.006,0.4743,0.0,0.0,0.0,0.0752,0.4457,code,python_with_docstrings,88
0.6207,4.7558,0.466,0.0,0.0,0.0923,0.8226,0.5992,0.1401,0.0602,0.1097,0.2114,0.4315,0.0389,0.2258,0.1031,0.0,0.4878,code,python_with_docstrings,77
0.7556,4.4974,0.8358,0.0,0.232,0.2161,0.812,0.9434,0.0,0.0,0.0,0.0,0.4215,0.15,0.0288,0.0,0.0,0.2903,code,python_with_docstrings,86
0.6866,4.6279,0.6542,0.1076,0.0,0.2067,0.8102,0.561,0.1563,0.0,0.0077,0.154,0.2199,0.0183,0.0695,0.0455,0.1006,0.5024,code,python_with_docstrings,75
0.7812,4.6623,0.6205,0.2167,0.183,0.0,0.8497,0.7737,0.0,0.1649,0.0,0.0,0.4178,0.1474,0.067,0.0226,0.0,0.4934,code,python_with_docstrings,82
0.8082,4.6177,0.8302,0.0915,0.0949,0.2815,0.9549,0.5301,0.2374,0.2682,0.0,0.0538,0.4256,0.0,0.1,0.0,0.0338,0.2057,code,python_with_docstrings,95
0.8812,4.6088,0.5558,0.0,0.0233,0.1495,0.82,0.784,0.1138,0.1676,0.0,0.2354,0.2193,0.0454,0.0144,0.0635,0.0,0.3082,code,python_with_docstrings,87
0.8116,4.492,0.3727,0.0267,0.0874,0.2054,0.7415,0.6185,0.0754,0.0,0.0423,0.079,0.2976,0.0,0.1353,0.0,0.1906,0.4189,code,python_with_docstrings,95
0.706,4.4485,0.6482,0.0,0.1087,0.2231,0.9913,0.8059,0.123,0.0,0.1338,0.0,0.5645,0.0308,0.0,0.0,0.0,0.3953,code,python_with_docstrings,84
0.5893,4.6572,0.6434,0.0,0.0808,0.1964,0.8895,0.7046,0.1098,0.1371,0.0,0.0,0.2503,0.0029,0.0,0.1089,0.0894,0.5402,code,python_with_docstrings,82
0.7324,4.6537,0.6098,0.0,0.0639,0.16,0.9694,0.9432,0.0713,0.1929,0.0,0.0614,0.603,0.0,0.0,0.0,0.07,0.1393,code,python_with_docstrings,90
0.7432,4.6083,0.7244,0.0178,0.0442,0.2412,0.7752,0.6539,0.0781,0.0428,0.0,0.0093,0.4824,0.089,0.1624,0.0,0.1342,0.3179,code,python_with_docstrings,81
0.8422,4.4919,0.6147,0.0839,0.0576,0.1009,0.7828,0.8145,0.3703,0.0831,0.0,0.0,0.3005,0.233,0.0,0.0,0.0286,0.2042,code,rust,54
0.6626,4.5743,0.7051,0.0391,0.0,0.1972,0.6575,0.8904,0.2296,0.0,0.0559,0.0,0.2716,0.179,0.0,0.0,0.0,0.1805,code,rust,52
0.8578,4.6544,0.5782,0.0,0.0088,0.1997,0.9916,0.9307,0.1744,0.0174,0.0,0.0675,0.5357,0.1521,0.0862,0.0494,0.1027,0.0734,code,rust,43
0.8467,4.4033,0.818,0.0,0.046,0.1795,0.7859,0.8002,0.4911,0.1302,0.0,0.0666,0.4522,0.0069,0.0,0.0,0.0,0.1651,code,rust,55
0.8637,4.5333,0.5483,0.0573,0.0207,0.155,0.9425,0.9317,0.2859,0.366,0.0274,0.0809,0.2525,0.0,0.0,0.0,0.1933,0.223,code,rust,52
0.8002,4.4628,0.9083,0.2224,0.1819,0.3787,0.8973,1.0657,0.3841,0.0856,0.038,0.1594,0.1711,0.0281,0.0,0.2637,0.0,0.2756,code,rust,50
0.6766,4.5728,0.6248,0.0,0.0,0.0,0.8662,0.6235,0.4849,0.0171,0.1234,0.1583,0.3289,0.0374,0.2213,0.0,0.0563,0.2404,code,rust,46
0.9199,4.5695,0.637,0.0,0.0226,0.1048,0.7607,0.8026,0.4354,0.0632,0.1202,0.1645,0.2503,0.1331,0.0,0.0,0.0,0.0098,code,rust,50
0.6956,4.349,0.6865,0.0,0.0,0.1834,0.8753,0.7986,0.2009,0.2295,0.1325,0.0,0.3193,0.1855,0.1189,0.0,0.0,0.2496,code,rust,49
0.703,4.6669,0.6349,0.0,0.0,0.0232,0.815,0.7032,0.2297,0.1704,0.0934,0.2107,0.0671,0.1229,0.0,0.07,0.1977,0.4214,code,rust,48
0.9709,4.413,0.4779,0.0,0.0,0.3094,0.7669,0.7823,0.4105,0.0,0.0,0.0214,0.0,0.0158,0.0295,0.0291,0.0,0.3694,code,rust,50
0.8763,4.4787,0.7094,0.0,0.0,0.141,0.7978,0.6764,0.3611,0.0,0.0,0.0,0.1358,0.0983,0.1246,0.0324,0.0,0.2666,code,rust,44
0.5825,4.4621,0.7635,0.2311,0.0119,0.1973,0.7673,0.7531,0.4848,0.2783,0.0296,0.0,0.3502,0.1323,0.0,0.0,0.1734,0.1936,code,rust,50
0.7289,4.5761,0.5837,0.0,0.0,0.2131,0.8896,0.7702,0.2382,0.1578,0.083,0.0,0.1562,0.13,0.0011,0.0599,0.0,0.2625,code,rust,48
1.2177,5.5178,0.7176,0.108,0.0,0.2445,0.5974,0.8715,0.2655,0.0,0.1508,0.0,0.3371,0.0,0.0,0.2618,0.177,0.3864,code,shell,37
1.162,5.3608,0.2379,0.0,0.0,0.0945,0.8184,0.8114,0.2826,0.1237,0.0,0.0772,0.379,0.1494,0.0943,0.0235,0.1792,0.4603,code,shell,40
1.1216,5.2339,0.3455,0.0,0.134,0.2981,0.797,0.8693,0.1159,0.131,0.0,0.0867,0.3036,0.0,0.0,0.0229,0.0,0.3388,code,shell,38
0.8825,5.5002,0.3315,0.0,0.0,0.2414,0.5179,0.647,0.3215,0.1414,0.0,0.0,0.3648,0.1228,0.1091,0.0,0.0899,0.2041,code,shell,43
1.1311,5.1429,0.3004,0.0,0.0,0.3398,0.7385,0.8803,0.2093,0.1306,0.0846,0.0,0.2025,0.0,0.1651,0.0644,0.0,0.3743,code,shell,42
0.9944,5.3839,0.3013,0.0,0.0,0.2793,0.6727,0.7915,0.2057,0.2293,0.0,0.1499,0.2221,0.13,0.128,0.0395,0.0379,0.0766,code,shell,38
1.1135,5.4524,0.4287,0.2449,0.5183,0.2283,0.602,0.7911,0.0823,0.2416,0.0,0.0847,0.3381,0.1232,0.0,0.0,0.0682,0.0943,code,shell,43
1.1252,5.1906,0.1358,0.0533,0.219,0.1141,0.6043,0.798,0.037,0.0887,0.0,0.1334,0.1432,0.0431,0.0,0.0161,0.0,0.0,code,shell,37
0.861,5.1302,0.2624,0.0,0.0,0.3221,0.6633,0.9447,0.1401,0.3572,0.0,0.0,0.3906,0.1998,0.1219,0.0,0.0,0.3316,code,shell,34
0.8571,5.4806,0.2871,0.0879,0.0875,0.1288,0.7869,0.8674,0.1378,0.0791,0.0035,0.0,0.0,0.0057,0.0,0.0969,0.148,0.1606,code,shell,41
0.8816,5.3892,0.4194,0.0342,0.0462,0.4198,0.8289,0.7222,0.0,0.1012,0.0343,0.1015,0.2288,0.1383,0.2194,0.2096,0.1297,0.2285,code,shell,43
1.0314,5.2393,0.1465,0.0,0.0,0.2414,0.6369,0.7164,0.2337,0.2033,0.0,0.2869,0.333,0.1224,0.0,0.0,0.0,0.2479,code,shell,36
0.9842,5.483,0.4271,0.0252,0.0725,0.2143,0.6306,0.7099,0.3948,0.1854,0.0838,0.0011,0.1672,0.0,0.0821,0.0,0.0,0.4429,code,shell,39
0.9256,5.4998,0.4442,0.1225,0.0311,0.4027,0.6975,0.732,0.2429,0.0,0.0,0.051,0.2033,0.0135,0.0028,0.0272,0.0,0.2905,code,shell,46
0.6725,5.5355,0.2889,0.0,0.0,0.4091,0.6679,0.7536,0.2984,0.1192,0.062,0.0,0.6274,0.0,0.0879,0.1328,0.0,0.0792,code,shell_with_comments,98
